Time,Label,Area1,Mean1,X1,Y1,Area2,Mean2,X2,Y2,Area3,Mean3,X3,Y3,Area4,Mean4,X4,Y4,Area5,Mean5,X5,Y5,Area6,Mean6,X6,Y6,Area7,Mean7,X7,Y7,Area8,Mean8,X8,Y8,Area9,Mean9,X9,Y9,Area10,Mean10,X10,Y10,Area11,Mean11,X11,Y11,Area12,Mean12,X12,Y12,Area13,Mean13,X13,Y13,Area14,Mean14,X14,Y14,Area15,Mean15,X15,Y15,Area16,Mean16,X16,Y16,Area17,Mean17,X17,Y17,Area18,Mean18,X18,Y18,Area19,Mean19,X19,Y19,Area20,Mean20,X20,Y20,Area21,Mean21,X21,Y21
1,13.avi,9207,40.4222,29.3343,133.4033,8935,45.3538,103.3236,79.7957,7549,29.2363,209.1025,85.2253,3700,40.7722,269.6903,34.6559,6638,36.4822,324.4494,92.9721,5648,42.469,205.8258,183.2201,8194,39.5358,266.4154,242.1286,7162,32.0519,121.4989,314.236,9137,26.176,193.0217,359.782,5855,36.7503,243.1678,417.6425,7282,38.1789,329.7057,423.1887,6098,43.3534,304.7906,329.6799,8576,29.3814,365.634,220.6687,4311,19.1559,435.648,259.6563,3462,12.2816,470.3105,354.5347,2918,12.0264,465.3218,412.9486,3773,28.9594,378.7266,459.9347,1932,36.5497,493.2246,277.6252,5138,31.8001,449.043,156.8344,1722,18.8153,495.3142,47.0813,2012,20.0666,448.6143,81.0934
2,13.avi,9207,40.5356,29.3343,133.4033,8935,45.4777,103.3236,79.7957,7549,29.4822,209.1025,85.2253,3700,40.6089,269.6903,34.6559,6638,37.1481,324.4494,92.9721,5648,42.3846,205.8258,183.2201,8194,39.8155,266.4154,242.1286,7162,32.6565,121.4989,314.236,9137,26.102,193.0217,359.782,5855,36.4294,243.1678,417.6425,7282,37.9511,329.7057,423.1887,6098,42.6046,304.7906,329.6799,8576,29.3438,365.634,220.6687,4311,19.322,435.648,259.6563,3462,12.7296,470.3105,354.5347,2918,11.9489,465.3218,412.9486,3773,28.7389,378.7266,459.9347,1932,36.8251,493.2246,277.6252,5138,31.9157,449.043,156.8344,1722,19.2056,495.3142,47.0813,2012,19.9498,448.6143,81.0934
3,13.avi,9207,40.3689,29.3343,133.4033,8935,45.2078,103.3236,79.7957,7549,29.2884,209.1025,85.2253,3700,40.7892,269.6903,34.6559,6638,36.7294,324.4494,92.9721,5648,41.9262,205.8258,183.2201,8194,39.5937,266.4154,242.1286,7162,32.8234,121.4989,314.236,9137,26.5418,193.0217,359.782,5855,35.8883,243.1678,417.6425,7282,38.0685,329.7057,423.1887,6098,42.4515,304.7906,329.6799,8576,29.5077,365.634,220.6687,4311,19.2628,435.648,259.6563,3462,12.2707,470.3105,354.5347,2918,11.2838,465.3218,412.9486,3773,28.6626,378.7266,459.9347,1932,36.1755,493.2246,277.6252,5138,31.7733,449.043,156.8344,1722,19.2166,495.3142,47.0813,2012,20.08,448.6143,81.0934
4,13.avi,9207,40.4983,29.3343,133.4033,8935,45.0626,103.3236,79.7957,7549,29.1807,209.1025,85.2253,3700,40.7168,269.6903,34.6559,6638,36.8115,324.4494,92.9721,5648,42.4772,205.8258,183.2201,8194,39.911,266.4154,242.1286,7162,32.5592,121.4989,314.236,9137,26.3345,193.0217,359.782,5855,36.0859,243.1678,417.6425,7282,38.2146,329.7057,423.1887,6098,42.3909,304.7906,329.6799,8576,29.2882,365.634,220.6687,4311,19.4465,435.648,259.6563,3462,12.3287,470.3105,354.5347,2918,11.8934,465.3218,412.9486,3773,28.5648,378.7266,459.9347,1932,36.9234,493.2246,277.6252,5138,31.5965,449.043,156.8344,1722,19.3682,495.3142,47.0813,2012,20.3385,448.6143,81.0934
5,13.avi,9207,40.6262,29.3343,133.4033,8935,45.2391,103.3236,79.7957,7549,29.9795,209.1025,85.2253,3700,40.6554,269.6903,34.6559,6638,37.5322,324.4494,92.9721,5648,42.6498,205.8258,183.2201,8194,39.5604,266.4154,242.1286,7162,33.5836,121.4989,314.236,9137,26.626,193.0217,359.782,5855,36.2167,243.1678,417.6425,7282,38.4712,329.7057,423.1887,6098,43.0371,304.7906,329.6799,8576,29.3165,365.634,220.6687,4311,19.4602,435.648,259.6563,3462,12.9832,470.3105,354.5347,2918,11.8067,465.3218,412.9486,3773,28.5584,378.7266,459.9347,1932,36.9824,493.2246,277.6252,5138,32.2281,449.043,156.8344,1722,18.8548,495.3142,47.0813,2012,20.2485,448.6143,81.0934
6,13.avi,9207,40.6086,29.3343,133.4033,8935,45.4776,103.3236,79.7957,7549,29.7145,209.1025,85.2253,3700,41.8097,269.6903,34.6559,6638,37.2394,324.4494,92.9721,5648,43.2112,205.8258,183.2201,8194,40.4148,266.4154,242.1286,7162,32.6258,121.4989,314.236,9137,26.851,193.0217,359.782,5855,36.1262,243.1678,417.6425,7282,38.9813,329.7057,423.1887,6098,43.3816,304.7906,329.6799,8576,29.6292,365.634,220.6687,4311,19.4092,435.648,259.6563,3462,12.496,470.3105,354.5347,2918,12.013,465.3218,412.9486,3773,28.7861,378.7266,459.9347,1932,36.589,493.2246,277.6252,5138,31.8665,449.043,156.8344,1722,18.5099,495.3142,47.0813,2012,19.9677,448.6143,81.0934
7,13.avi,9207,40.6001,29.3343,133.4033,8935,45.5036,103.3236,79.7957,7549,29.9127,209.1025,85.2253,3700,41.6846,269.6903,34.6559,6638,37.3647,324.4494,92.9721,5648,43.1643,205.8258,183.2201,8194,40.4563,266.4154,242.1286,7162,32.8281,121.4989,314.236,9137,26.6626,193.0217,359.782,5855,36.6396,243.1678,417.6425,7282,38.5957,329.7057,423.1887,6098,43.6228,304.7906,329.6799,8576,30.1056,365.634,220.6687,4311,19.4676,435.648,259.6563,3462,12.4492,470.3105,354.5347,2918,11.7653,465.3218,412.9486,3773,28.5881,378.7266,459.9347,1932,36.7521,493.2246,277.6252,5138,31.7271,449.043,156.8344,1722,19.5046,495.3142,47.0813,2012,19.9269,448.6143,81.0934
8,13.avi,9207,40.7551,29.3343,133.4033,8935,44.7025,103.3236,79.7957,7549,29.1737,209.1025,85.2253,3700,41.1846,269.6903,34.6559,6638,37.5065,324.4494,92.9721,5648,43.0168,205.8258,183.2201,8194,40.6679,266.4154,242.1286,7162,33.279,121.4989,314.236,9137,26.6667,193.0217,359.782,5855,36.9351,243.1678,417.6425,7282,38.8211,329.7057,423.1887,6098,42.564,304.7906,329.6799,8576,29.7677,365.634,220.6687,4311,19.7251,435.648,259.6563,3462,12.5098,470.3105,354.5347,2918,11.7851,465.3218,412.9486,3773,28.9989,378.7266,459.9347,1932,36.8799,493.2246,277.6252,5138,31.9833,449.043,156.8344,1722,18.676,495.3142,47.0813,2012,19.8032,448.6143,81.0934
9,13.avi,9207,41.055,29.3343,133.4033,8935,44.9875,103.3236,79.7957,7549,29.4133,209.1025,85.2253,3700,41.1841,269.6903,34.6559,6638,36.5872,324.4494,92.9721,5648,42.4724,205.8258,183.2201,8194,40.149,266.4154,242.1286,7162,32.8808,121.4989,314.236,9137,26.4103,193.0217,359.782,5855,36.6729,243.1678,417.6425,7282,38.485,329.7057,423.1887,6098,42.7222,304.7906,329.6799,8576,29.1975,365.634,220.6687,4311,19.3758,435.648,259.6563,3462,12.2135,470.3105,354.5347,2918,11.61,465.3218,412.9486,3773,28.4768,378.7266,459.9347,1932,36.6102,493.2246,277.6252,5138,31.6067,449.043,156.8344,1722,19.3293,495.3142,47.0813,2012,19.4463,448.6143,81.0934
10,13.avi,9207,40.6895,29.3343,133.4033,8935,44.5372,103.3236,79.7957,7549,28.9995,209.1025,85.2253,3700,41.2827,269.6903,34.6559,6638,36.9763,324.4494,92.9721,5648,42.7583,205.8258,183.2201,8194,39.6319,266.4154,242.1286,7162,32.7025,121.4989,314.236,9137,26.0264,193.0217,359.782,5855,36.5107,243.1678,417.6425,7282,38.8212,329.7057,423.1887,6098,42.5348,304.7906,329.6799,8576,29.36,365.634,220.6687,4311,19.7175,435.648,259.6563,3462,12.2189,470.3105,354.5347,2918,11.0123,465.3218,412.9486,3773,28.3793,378.7266,459.9347,1932,36.102,493.2246,277.6252,5138,31.8982,449.043,156.8344,1722,18.2201,495.3142,47.0813,2012,19.2346,448.6143,81.0934
11,13.avi,9207,40.6755,29.3343,133.4033,8935,45.476,103.3236,79.7957,7549,29.2255,209.1025,85.2253,3700,41.6608,269.6903,34.6559,6638,37.4199,324.4494,92.9721,5648,42.5258,205.8258,183.2201,8194,39.3968,266.4154,242.1286,7162,33.3686,121.4989,314.236,9137,26.4927,193.0217,359.782,5855,36.5927,243.1678,417.6425,7282,38.9477,329.7057,423.1887,6098,42.7294,304.7906,329.6799,8576,29.5925,365.634,220.6687,4311,20.0784,435.648,259.6563,3462,12.5246,470.3105,354.5347,2918,11.6467,465.3218,412.9486,3773,28.3928,378.7266,459.9347,1932,36.8142,493.2246,277.6252,5138,31.3344,449.043,156.8344,1722,18.7886,495.3142,47.0813,2012,19.5413,448.6143,81.0934
12,13.avi,9207,41.0521,29.3343,133.4033,8935,45.5566,103.3236,79.7957,7549,29.3946,209.1025,85.2253,3700,41.1214,269.6903,34.6559,6638,36.9589,324.4494,92.9721,5648,42.2751,205.8258,183.2201,8194,39.5774,266.4154,242.1286,7162,33.8838,121.4989,314.236,9137,25.9876,193.0217,359.782,5855,36.5385,243.1678,417.6425,7282,38.1259,329.7057,423.1887,6098,42.6541,304.7906,329.6799,8576,29.7547,365.634,220.6687,4311,19.4361,435.648,259.6563,3462,12.0832,470.3105,354.5347,2918,11.4582,465.3218,412.9486,3773,28.4917,378.7266,459.9347,1932,36.6128,493.2246,277.6252,5138,31.5938,449.043,156.8344,1722,18.7904,495.3142,47.0813,2012,19.7321,448.6143,81.0934
13,13.avi,9207,41.1319,29.3343,133.4033,8935,45.8648,103.3236,79.7957,7549,28.7752,209.1025,85.2253,3700,41.0778,269.6903,34.6559,6638,37.0368,324.4494,92.9721,5648,42.2311,205.8258,183.2201,8194,39.4375,266.4154,242.1286,7162,33.1303,121.4989,314.236,9137,25.9505,193.0217,359.782,5855,36.4977,243.1678,417.6425,7282,38.2199,329.7057,423.1887,6098,42.5087,304.7906,329.6799,8576,29.2326,365.634,220.6687,4311,19.1944,435.648,259.6563,3462,12.0459,470.3105,354.5347,2918,11.5524,465.3218,412.9486,3773,28.445,378.7266,459.9347,1932,36.8525,493.2246,277.6252,5138,31.3552,449.043,156.8344,1722,18.7898,495.3142,47.0813,2012,19.6243,448.6143,81.0934
14,13.avi,9207,41.2924,29.3343,133.4033,8935,46.1503,103.3236,79.7957,7549,28.9203,209.1025,85.2253,3700,40.8141,269.6903,34.6559,6638,36.624,324.4494,92.9721,5648,42.333,205.8258,183.2201,8194,39.1543,266.4154,242.1286,7162,32.8791,121.4989,314.236,9137,25.8061,193.0217,359.782,5855,36.5009,243.1678,417.6425,7282,38.0413,329.7057,423.1887,6098,42.3619,304.7906,329.6799,8576,29.3744,365.634,220.6687,4311,19.009,435.648,259.6563,3462,12.0569,470.3105,354.5347,2918,11.3797,465.3218,412.9486,3773,28.1015,378.7266,459.9347,1932,36.8183,493.2246,277.6252,5138,31.1534,449.043,156.8344,1722,19.0679,495.3142,47.0813,2012,19.008,448.6143,81.0934
15,13.avi,9207,41.0898,29.3343,133.4033,8935,46.4269,103.3236,79.7957,7549,28.7352,209.1025,85.2253,3700,41.3554,269.6903,34.6559,6638,37.024,324.4494,92.9721,5648,42.7436,205.8258,183.2201,8194,39.5725,266.4154,242.1286,7162,33.4453,121.4989,314.236,9137,25.8887,193.0217,359.782,5855,36.2825,243.1678,417.6425,7282,38.1763,329.7057,423.1887,6098,42.7876,304.7906,329.6799,8576,29.558,365.634,220.6687,4311,19.0582,435.648,259.6563,3462,12.1967,470.3105,354.5347,2918,11.7395,465.3218,412.9486,3773,28.5953,378.7266,459.9347,1932,37.4845,493.2246,277.6252,5138,31.7548,449.043,156.8344,1722,19.0859,495.3142,47.0813,2012,19.5696,448.6143,81.0934
16,13.avi,9207,40.8268,29.3343,133.4033,8935,46.061,103.3236,79.7957,7549,29,209.1025,85.2253,3700,41.3819,269.6903,34.6559,6638,36.9233,324.4494,92.9721,5648,42.1687,205.8258,183.2201,8194,39.3172,266.4154,242.1286,7162,33.819,121.4989,314.236,9137,25.4665,193.0217,359.782,5855,36.1407,243.1678,417.6425,7282,38.6079,329.7057,423.1887,6098,42.8445,304.7906,329.6799,8576,30.2549,365.634,220.6687,4311,19.4625,435.648,259.6563,3462,12.4656,470.3105,354.5347,2918,11.9013,465.3218,412.9486,3773,28.5653,378.7266,459.9347,1932,36.4933,493.2246,277.6252,5138,32.1127,449.043,156.8344,1722,18.2189,495.3142,47.0813,2012,19.8464,448.6143,81.0934
17,13.avi,9207,40.4512,29.3343,133.4033,8935,45.7867,103.3236,79.7957,7549,28.8283,209.1025,85.2253,3700,41.7311,269.6903,34.6559,6638,36.8747,324.4494,92.9721,5648,41.1328,205.8258,183.2201,8194,39.3287,266.4154,242.1286,7162,33.3531,121.4989,314.236,9137,25.4346,193.0217,359.782,5855,35.6902,243.1678,417.6425,7282,38.2306,329.7057,423.1887,6098,42.5718,304.7906,329.6799,8576,29.771,365.634,220.6687,4311,19.1046,435.648,259.6563,3462,12.3359,470.3105,354.5347,2918,11.5099,465.3218,412.9486,3773,28.8953,378.7266,459.9347,1932,35.8742,493.2246,277.6252,5138,31.0891,449.043,156.8344,1722,18.4663,495.3142,47.0813,2012,19.1595,448.6143,81.0934
18,13.avi,9207,41.3261,29.3343,133.4033,8935,45.8567,103.3236,79.7957,7549,28.8957,209.1025,85.2253,3700,40.7435,269.6903,34.6559,6638,37.1867,324.4494,92.9721,5648,41.3998,205.8258,183.2201,8194,39.516,266.4154,242.1286,7162,33.1199,121.4989,314.236,9137,25.5924,193.0217,359.782,5855,36.2567,243.1678,417.6425,7282,38.6233,329.7057,423.1887,6098,42.6181,304.7906,329.6799,8576,29.9307,365.634,220.6687,4311,19.1735,435.648,259.6563,3462,12.3166,470.3105,354.5347,2918,11.4291,465.3218,412.9486,3773,28.6801,378.7266,459.9347,1932,36.9063,493.2246,277.6252,5138,31.1722,449.043,156.8344,1722,18.7729,495.3142,47.0813,2012,19.2639,448.6143,81.0934
19,13.avi,9207,40.7667,29.3343,133.4033,8935,45.3726,103.3236,79.7957,7549,28.2988,209.1025,85.2253,3700,39.3,269.6903,34.6559,6638,36.1755,324.4494,92.9721,5648,41.3325,205.8258,183.2201,8194,39.0128,266.4154,242.1286,7162,32.9435,121.4989,314.236,9137,25.1492,193.0217,359.782,5855,35.2538,243.1678,417.6425,7282,38.1965,329.7057,423.1887,6098,42.2822,304.7906,329.6799,8576,29.2066,365.634,220.6687,4311,19.2322,435.648,259.6563,3462,12.2689,470.3105,354.5347,2918,11.3345,465.3218,412.9486,3773,27.9449,378.7266,459.9347,1932,37.1589,493.2246,277.6252,5138,31.2797,449.043,156.8344,1722,17.7079,495.3142,47.0813,2012,19.4319,448.6143,81.0934
20,13.avi,9207,41.4494,29.3343,133.4033,8935,45.459,103.3236,79.7957,7549,28.8834,209.1025,85.2253,3700,40.7065,269.6903,34.6559,6638,36.8323,324.4494,92.9721,5648,41.9467,205.8258,183.2201,8194,39.5762,266.4154,242.1286,7162,33.8781,121.4989,314.236,9137,25.9682,193.0217,359.782,5855,35.6576,243.1678,417.6425,7282,37.9381,329.7057,423.1887,6098,42.5303,304.7906,329.6799,8576,29.8974,365.634,220.6687,4311,19.1489,435.648,259.6563,3462,12.2369,470.3105,354.5347,2918,11.9321,465.3218,412.9486,3773,27.8174,378.7266,459.9347,1932,38.6527,493.2246,277.6252,5138,32.1201,449.043,156.8344,1722,18.91,495.3142,47.0813,2012,19.4751,448.6143,81.0934
21,13.avi,9207,41.3539,29.3343,133.4033,8935,45.0768,103.3236,79.7957,7549,28.5136,209.1025,85.2253,3700,41.1205,269.6903,34.6559,6638,36.1196,324.4494,92.9721,5648,42.2443,205.8258,183.2201,8194,40.034,266.4154,242.1286,7162,33.3044,121.4989,314.236,9137,25.4463,193.0217,359.782,5855,35.8191,243.1678,417.6425,7282,38.2264,329.7057,423.1887,6098,42.6186,304.7906,329.6799,8576,29.5309,365.634,220.6687,4311,18.7701,435.648,259.6563,3462,12.4495,470.3105,354.5347,2918,12.2217,465.3218,412.9486,3773,28.308,378.7266,459.9347,1932,38.911,493.2246,277.6252,5138,31.8215,449.043,156.8344,1722,19.0407,495.3142,47.0813,2012,19.2888,448.6143,81.0934
22,13.avi,9207,41.8272,29.3343,133.4033,8935,45.3637,103.3236,79.7957,7549,28.4224,209.1025,85.2253,3700,41.4019,269.6903,34.6559,6638,35.9509,324.4494,92.9721,5648,41.9122,205.8258,183.2201,8194,39.8567,266.4154,242.1286,7162,33.2203,121.4989,314.236,9137,25.6612,193.0217,359.782,5855,35.7141,243.1678,417.6425,7282,38.1714,329.7057,423.1887,6098,43.0981,304.7906,329.6799,8576,29.2712,365.634,220.6687,4311,18.9524,435.648,259.6563,3462,12.6638,470.3105,354.5347,2918,11.8814,465.3218,412.9486,3773,27.9221,378.7266,459.9347,1932,39.809,493.2246,277.6252,5138,31.3869,449.043,156.8344,1722,18.2305,495.3142,47.0813,2012,19.6223,448.6143,81.0934
23,13.avi,9207,41.5143,29.3343,133.4033,8935,45.7264,103.3236,79.7957,7549,28.9201,209.1025,85.2253,3700,40.6589,269.6903,34.6559,6638,36.6463,324.4494,92.9721,5648,41.9407,205.8258,183.2201,8194,40.4271,266.4154,242.1286,7162,32.9774,121.4989,314.236,9137,25.5188,193.0217,359.782,5855,35.435,243.1678,417.6425,7282,38.4411,329.7057,423.1887,6098,42.3972,304.7906,329.6799,8576,29.9362,365.634,220.6687,4311,19.187,435.648,259.6563,3462,12.8013,470.3105,354.5347,2918,12.0576,465.3218,412.9486,3773,28.3684,378.7266,459.9347,1932,40.1506,493.2246,277.6252,5138,31.6845,449.043,156.8344,1722,18.9024,495.3142,47.0813,2012,19.2982,448.6143,81.0934
24,13.avi,9207,41.1739,29.3343,133.4033,8935,45.2712,103.3236,79.7957,7549,28.7687,209.1025,85.2253,3700,40.293,269.6903,34.6559,6638,36.3958,324.4494,92.9721,5648,41.6799,205.8258,183.2201,8194,40.6567,266.4154,242.1286,7162,33.112,121.4989,314.236,9137,25.1429,193.0217,359.782,5855,36.0056,243.1678,417.6425,7282,38.2241,329.7057,423.1887,6098,42.8481,304.7906,329.6799,8576,29.7716,365.634,220.6687,4311,18.9529,435.648,259.6563,3462,12.935,470.3105,354.5347,2918,11.904,465.3218,412.9486,3773,28.3851,378.7266,459.9347,1932,40.2231,493.2246,277.6252,5138,31.4122,449.043,156.8344,1722,18.6423,495.3142,47.0813,2012,19.2475,448.6143,81.0934
25,13.avi,9207,40.8673,29.3343,133.4033,8935,45.0877,103.3236,79.7957,7549,28.4847,209.1025,85.2253,3700,40.1389,269.6903,34.6559,6638,35.9272,324.4494,92.9721,5648,41.2743,205.8258,183.2201,8194,40.2773,266.4154,242.1286,7162,33.1116,121.4989,314.236,9137,25.1171,193.0217,359.782,5855,35.5199,243.1678,417.6425,7282,37.9725,329.7057,423.1887,6098,42.605,304.7906,329.6799,8576,29.4733,365.634,220.6687,4311,19.2229,435.648,259.6563,3462,12.6979,470.3105,354.5347,2918,11.829,465.3218,412.9486,3773,28.0366,378.7266,459.9347,1932,39.854,493.2246,277.6252,5138,31.4414,449.043,156.8344,1722,18.4942,495.3142,47.0813,2012,19.329,448.6143,81.0934
26,13.avi,9207,41.0053,29.3343,133.4033,8935,45.4404,103.3236,79.7957,7549,28.8245,209.1025,85.2253,3700,40.3216,269.6903,34.6559,6638,36.0792,324.4494,92.9721,5648,42.0152,205.8258,183.2201,8194,40.432,266.4154,242.1286,7162,33.1078,121.4989,314.236,9137,25.6605,193.0217,359.782,5855,36.0159,243.1678,417.6425,7282,38.3285,329.7057,423.1887,6098,42.4118,304.7906,329.6799,8576,29.6634,365.634,220.6687,4311,19.036,435.648,259.6563,3462,12.4581,470.3105,354.5347,2918,12.281,465.3218,412.9486,3773,28.357,378.7266,459.9347,1932,39.9451,493.2246,277.6252,5138,30.8361,449.043,156.8344,1722,19.2352,495.3142,47.0813,2012,19.5234,448.6143,81.0934
27,13.avi,9207,41.2669,29.3343,133.4033,8935,45.0923,103.3236,79.7957,7549,28.8886,209.1025,85.2253,3700,40.873,269.6903,34.6559,6638,36.2629,324.4494,92.9721,5648,42.9005,205.8258,183.2201,8194,40.5799,266.4154,242.1286,7162,32.7315,121.4989,314.236,9137,25.3394,193.0217,359.782,5855,36.3182,243.1678,417.6425,7282,38.097,329.7057,423.1887,6098,42.204,304.7906,329.6799,8576,29.3902,365.634,220.6687,4311,19.2579,435.648,259.6563,3462,12.1453,470.3105,354.5347,2918,11.7378,465.3218,412.9486,3773,28.5423,378.7266,459.9347,1932,39.7971,493.2246,277.6252,5138,31.4829,449.043,156.8344,1722,18.7323,495.3142,47.0813,2012,19.1983,448.6143,81.0934
28,13.avi,9207,41.5239,29.3343,133.4033,8935,45.5737,103.3236,79.7957,7549,28.6931,209.1025,85.2253,3700,40.993,269.6903,34.6559,6638,36.345,324.4494,92.9721,5648,42.6654,205.8258,183.2201,8194,39.9609,266.4154,242.1286,7162,33.0242,121.4989,314.236,9137,25.6575,193.0217,359.782,5855,35.8118,243.1678,417.6425,7282,38.2532,329.7057,423.1887,6098,42.5336,304.7906,329.6799,8576,29.88,365.634,220.6687,4311,19.4189,435.648,259.6563,3462,12.5104,470.3105,354.5347,2918,12.4109,465.3218,412.9486,3773,28.1084,378.7266,459.9347,1932,39.4457,493.2246,277.6252,5138,31.0932,449.043,156.8344,1722,18.7352,495.3142,47.0813,2012,19.9935,448.6143,81.0934
29,13.avi,9207,40.7527,29.3343,133.4033,8935,44.7011,103.3236,79.7957,7549,28.4671,209.1025,85.2253,3700,40.6151,269.6903,34.6559,6638,35.81,324.4494,92.9721,5648,41.8118,205.8258,183.2201,8194,39.5273,266.4154,242.1286,7162,32.3351,121.4989,314.236,9137,25.3411,193.0217,359.782,5855,35.0277,243.1678,417.6425,7282,37.5556,329.7057,423.1887,6098,41.6359,304.7906,329.6799,8576,29.0385,365.634,220.6687,4311,18.6312,435.648,259.6563,3462,12.2215,470.3105,354.5347,2918,11.9112,465.3218,412.9486,3773,27.7819,378.7266,459.9347,1932,39.2252,493.2246,277.6252,5138,30.7445,449.043,156.8344,1722,18.3595,495.3142,47.0813,2012,18.6039,448.6143,81.0934
30,13.avi,9207,40.9962,29.3343,133.4033,8935,44.4582,103.3236,79.7957,7549,28.2482,209.1025,85.2253,3700,39.9392,269.6903,34.6559,6638,35.7371,324.4494,92.9721,5648,41.8176,205.8258,183.2201,8194,39.6516,266.4154,242.1286,7162,32.3646,121.4989,314.236,9137,25.1136,193.0217,359.782,5855,34.6885,243.1678,417.6425,7282,37.9651,329.7057,423.1887,6098,42.2404,304.7906,329.6799,8576,28.4789,365.634,220.6687,4311,18.4264,435.648,259.6563,3462,12.4379,470.3105,354.5347,2918,12.2814,465.3218,412.9486,3773,28.0737,378.7266,459.9347,1932,40.3395,493.2246,277.6252,5138,31.182,449.043,156.8344,1722,18.9472,495.3142,47.0813,2012,18.3519,448.6143,81.0934
31,13.avi,9207,41.9419,29.3343,133.4033,8935,44.5346,103.3236,79.7957,7549,28.6398,209.1025,85.2253,3700,39.5387,269.6903,34.6559,6638,36.0747,324.4494,92.9721,5648,42.2693,205.8258,183.2201,8194,39.2906,266.4154,242.1286,7162,32.5892,121.4989,314.236,9137,25.1966,193.0217,359.782,5855,35.1633,243.1678,417.6425,7282,38.277,329.7057,423.1887,6098,42.1981,304.7906,329.6799,8576,28.8186,365.634,220.6687,4311,18.9601,435.648,259.6563,3462,12.3923,470.3105,354.5347,2918,12.2056,465.3218,412.9486,3773,28.2218,378.7266,459.9347,1932,39.7976,493.2246,277.6252,5138,31.2246,449.043,156.8344,1722,18.6051,495.3142,47.0813,2012,18.5234,448.6143,81.0934
32,13.avi,9207,41.1396,29.3343,133.4033,8935,44.481,103.3236,79.7957,7549,28.3145,209.1025,85.2253,3700,39.6305,269.6903,34.6559,6638,35.1178,324.4494,92.9721,5648,42.6016,205.8258,183.2201,8194,39.71,266.4154,242.1286,7162,32.3049,121.4989,314.236,9137,25.4619,193.0217,359.782,5855,34.7611,243.1678,417.6425,7282,38.0879,329.7057,423.1887,6098,42.5116,304.7906,329.6799,8576,28.964,365.634,220.6687,4311,18.858,435.648,259.6563,3462,12.4214,470.3105,354.5347,2918,12.0727,465.3218,412.9486,3773,27.8667,378.7266,459.9347,1932,39.5673,493.2246,277.6252,5138,31.1617,449.043,156.8344,1722,19.1423,495.3142,47.0813,2012,19.335,448.6143,81.0934
